January;First Moon;;;;;;;;;;;;;x
February;Second Moon;;;;;;;;;;;;;x
March;Third Moon;;;;;;;;;;;;;x
April;Forth Moon;;;;;;;;;;;;;x
May;Fifth Moon;;;;;;;;;;;;;x
June;Sixth Moon;;;;;;;;;;;;;x
July;Seventh Moon;;;;;;;;;;;;;x
August;Eight Moon;;;;;;;;;;;;;x
September;Nineth Moon;;;;;;;;;;;;;x
October;Tenth Moon;;;;;;;;;;;;;x
November;Eleventh Moon;;;;;;;;;;;;;x
December;Twelve Moon;;;;;;;;;;;;;x
Monday;1st Early Xun;;;;;;;;;;;;;x
Tuesday;2nd Early Xun;;;;;;;;;;;;;x
Wednesday;1st Mid Xun;;;;;;;;;;;;;x
Thursday;2nd Mid Xun;;;;;;;;;;;;;x
Friday;3rd Mid Xun;;;;;;;;;;;;;x
Saturday;1st Late Xun;;;;;;;;;;;;;x
Sunday;2nd Late Xun;;;;;;;;;;;;;x
